"loan_type_name","property_type_name","loan_purpose_name","owner_occupancy_name","loan_amount_000s","action_taken_name","applicant_ethnicity_name","applicant_race_name_1","applicant_sex_name","applicant_income_000s","lien_status_name","population","minority_population","tract_to_msamd_income","number_of_owner_occupied_units","number_of_1_to_4_family_units","co_applicant"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",550,"1","Not Hispanic or Latino","White","Female",134,"Secured by a first lien",1173,5.71000003814697,197.100006103516,420,1630,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",250,"0","Not Hispanic or Latino","White","Male",83,"Secured by a first lien",4480,68.4199981689453,88.879997253418,584,1279,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",165,"1","Not Hispanic or Latino","White","Male",43,"Secured by a first lien",3914,42.6199989318848,90.5199966430664,613,1252,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",204,"0","Hispanic or Latino","White","Male",71,"Secured by a first lien",5611,78.5599975585938,70.2799987792969,696,1221,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",138,"0","Hispanic or Latino","White","Male",46,"Secured by a first lien",4522,52.1699981689453,94.620002746582,1038,1522,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",240,"0","Not Hispanic or Latino","White","Male",70,"Secured by a first lien",2009,34.0999984741211,100.050003051758,315,1092,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",178,"1","Not Hispanic or Latino","White","Female",98,"Secured by a first lien",5414,28.4300003051758,89.870002746582,1153,2099,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",269,"1","Not Hispanic or Latino","Asian","Female",91,"Secured by a first lien",3169,55.7900009155273,131.75,812,1188,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",293,"1","Not Hispanic or Latino","White","Male",114,"Secured by a first lien",6271,61.25,118.279998779297,1118,1969,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Not owner-occupied as a principal dwelling",229,"1","Not Hispanic or Latino","White","Male",70,"Secured by a first lien",6353,31.4500007629395,160.839996337891,1505,2298,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",296,"1","Not Hispanic or Latino","White","Male",559,"Secured by a first lien",4122,43.4500007629395,91.5199966430664,762,815,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",313,"1","Not Hispanic or Latino","White","Male",154,"Secured by a first lien",4125,39.2200012207031,156.259994506836,869,1268,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",535,"0","Not Hispanic or Latino","White","Female",131,"Secured by a first lien",4600,38.6300010681152,234.850006103516,859,1602,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",424,"1","Not Hispanic or Latino","White","Female",59,"Secured by a first lien",1740,26.8400001525879,193.25,589,741,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",75,"0","Not Hispanic or Latino","Asian","Female",60,"Secured by a first lien",4516,40.1199989318848,164.410003662109,1170,1698,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Not owner-occupied as a principal dwelling",72,"0","Not Hispanic or Latino","White","Female",70,"Secured by a first lien",3151,26.6900005340576,102.779998779297,867,1712,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home improvement","Owner-occupied as a principal dwelling",268,"1","Not Hispanic or Latino","White","Male",85,"Secured by a first lien",3819,30.1599998474121,114.459999084473,1444,1863,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",250,"0","Not Hispanic or Latino","Asian","Female",75,"Secured by a first lien",4263,37.9500007629395,135.210006713867,1155,1770,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",167,"1","Hispanic or Latino","White","Male",30,"Secured by a first lien",4055,43.0299987792969,126.870002746582,1013,1633,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",181,"1","Not Hispanic or Latino","White","Female",48,"Secured by a first lien",7161,57.0299987792969,130.580001831055,1647,2622,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",296,"0","Not Hispanic or Latino","White","Male",59,"Secured by a first lien",8920,26.0300006866455,124.400001525879,2844,3975,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",196,"1","Hispanic or Latino","White","Male",122,"Secured by a first lien",8920,26.0300006866455,124.400001525879,2844,3975,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",181,"0","Not Hispanic or Latino","Asian","Female",44,"Secured by a first lien",5382,66.1999969482422,137.720001220703,984,1826,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",200,"1","Not Hispanic or Latino","White","Female",38,"Secured by a first lien",8920,26.0300006866455,124.400001525879,2844,3975,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",204,"0","Hispanic or Latino","White","Male",64,"Secured by a first lien",5508,51.6699981689453,82.7399978637695,1007,1534,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",153,"1","Hispanic or Latino","White","Male",51,"Secured by a first lien",4597,90.3000030517578,70.2099990844727,796,1459,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",150,"0","Not Hispanic or Latino","Native Hawaiian or Other Pacific Islander","Male",106,"Secured by a first lien",4299,65.9199981689453,122.690002441406,1238,1845,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",185,"0","Hispanic or Latino","White","Female",51,"Secured by a first lien",5935,28.7099990844727,137.080001831055,2240,2780,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",175,"0","Not Hispanic or Latino","White","Female",70,"Secured by a first lien",4462,84.9199981689453,83.120002746582,664,1232,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",228,"0","Hispanic or Latino","White","Male",77,"Secured by a first lien",4055,43.0299987792969,126.870002746582,1013,1633,"yes"
"Conventional","Manufactured housing","Refinancing","Owner-occupied as a principal dwelling",65,"1","Not Hispanic or Latino","White","Male",64,"Secured by a first lien",5430,32.3899993896484,133.619995117188,1651,2067,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",185,"1","Not Hispanic or Latino","White","Female",50,"Secured by a first lien",2971,22.0499992370605,164.940002441406,945,1249,"no"
"Conventional","Manufactured housing","Refinancing","Owner-occupied as a principal dwelling",97,"1","Not Hispanic or Latino","White","Male",26,"Secured by a first lien",4327,22.3199996948242,75.9800033569336,1239,1814,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",80,"1","Not Hispanic or Latino","White","Male",86,"Secured by a first lien",6492,57.1800003051758,77.2399978637695,1255,2665,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",246,"1","Not Hispanic or Latino","White","Female",119,"Secured by a first lien",3953,33.060001373291,126.290000915527,1099,1608,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",424,"1","Not Hispanic or Latino","White","Male",119,"Secured by a first lien",3468,4.73000001907349,155.699996948242,1259,1618,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",150,"1","Not Hispanic or Latino","White","Male",26,"Secured by a first lien",3929,9.28999996185303,103.769996643066,1546,1950,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",284,"1","Not Hispanic or Latino","Asian","Male",48,"Secured by a first lien",5491,55.3600006103516,68.0699996948242,820,1316,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Not owner-occupied as a principal dwelling",396,"1","Not Hispanic or Latino","Asian","Female",270,"Secured by a first lien",6472,40.3699989318848,187.949996948242,1335,2099,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",67,"0","Not Hispanic or Latino","Asian","Female",131,"Secured by a first lien",4122,43.4500007629395,91.5199966430664,762,815,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",214,"1","Hispanic or Latino","White","Female",68,"Secured by a first lien",7756,52.5099983215332,124.860000610352,1184,2031,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",120,"1","Not Hispanic or Latino","Black or African American","Male",90,"Secured by a first lien",4840,74.629997253418,70.6699981689453,694,1418,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",406,"1","Not Hispanic or Latino","White","Male",234,"Secured by a first lien",2844,12.5500001907349,156.619995117188,898,1116,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",626,"1","Not Hispanic or Latino","White","Male",269,"Secured by a first lien",3468,4.73000001907349,155.699996948242,1259,1618,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Not owner-occupied as a principal dwelling",162,"0","Not Hispanic or Latino","White","Male",113,"Secured by a first lien",3437,21.8500003814697,111.389999389648,802,1136,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",563,"1","Not Hispanic or Latino","White","Male",100,"Secured by a first lien",1572,4.19999980926514,215.589996337891,545,779,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",101,"0","Not Hispanic or Latino","White","Male",45,"Secured by a first lien",3674,17.5799999237061,99.4000015258789,1291,1596,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",218,"1","Not Hispanic or Latino","Asian","Male",61,"Secured by a first lien",4110,40,174.179992675781,1134,1680,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Not owner-occupied as a principal dwelling",188,"0","Not Hispanic or Latino","White","Male",165,"Secured by a first lien",2333,32.6599998474121,112.300003051758,641,816,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",160,"1","Hispanic or Latino","White","Male",105,"Secured by a first lien",7320,91.1999969482422,41.75,517,1470,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",226,"1","Not Hispanic or Latino","White","Male",88,"Secured by a first lien",3996,50.3499984741211,95.629997253418,916,1545,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",151,"1","Not Hispanic or Latino","White","Female",130,"Secured by a first lien",5623,26.4099998474121,150.059997558594,2045,2642,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",257,"1","Hispanic or Latino","Asian","Male",54,"Secured by a first lien",4483,74.4100036621094,61.5999984741211,127,379,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",188,"0","Not Hispanic or Latino","Black or African American","Female",54,"Secured by a first lien",4462,84.9199981689453,83.120002746582,664,1232,"no"
"Conventional","Manufactured housing","Home purchase","Not owner-occupied as a principal dwelling",167,"1","Not Hispanic or Latino","White","Female",128,"Secured by a first lien",2031,13.3400001525879,85.2399978637695,705,1001,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",306,"0","Not Hispanic or Latino","White","Female",82,"Secured by a first lien",2138,27.8799991607666,212.550003051758,606,872,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",210,"0","Not Hispanic or Latino","White","Female",155,"Secured by a first lien",5001,33.9500007629395,229.130004882812,1601,2298,"no"
"FSA/RHS-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",212,"1","Not Hispanic or Latino","White","Female",46,"Secured by a first lien",4814,12.9399995803833,128.850006103516,1056,1922,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",260,"1","Not Hispanic or Latino","White","Male",86,"Secured by a first lien",3347,47.4799995422363,125.430000305176,848,1320,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",140,"1","Not Hispanic or Latino","White","Male",33,"Secured by a first lien",4318,52.0099983215332,96.4400024414062,972,1678,"yes"
